ticker,setor,nome,preco_atual,p_l,p_vp,roe,dividend_yield,margem_liquida,divida_patrimonio,market_cap,p_l_vs_setor,roe_vs_setor,dividend_yield_vs_setor
ABCB4.SA,Financial Services,Banco ABC Brasil S.A.,24.76,4.4452424,0.8790117,14.905,9.37,40.916002,,6384726016.0,-10.266619557894735,-5.36310003,3.88578947368421
ABEV3.SA,Consumer Defensive,Ambev S.A.,15.34,14.893205,2.6841645,18.4,4.78,18.406,3.317,236488916992.0,-1.9026425363636381,6.666333366666665,-2.167272727272727
ALOS3.SA,Real Estate,Allos S.A.,29.12,15.326317,1.1330739,7.585999999999999,11.94,31.397000000000002,56.087,14564110336.0,-4.682639316666666,-16.88430773076923,-1.6358333333333341
ALPA4.SA,Consumer Cyclical,Alpargatas S.A.,13.31,13.444445,2.4976544,18.084998,4.89,14.524001,38.72,9041902592.0,0.579427505,8.163171860869564,-8.117368421052632
ALUP11.SA,Utilities,Alupar Investimento S.A.,32.05,7.680326,1.0958389,15.841,2.33,27.677000000000003,111.329,15244774400.0,-14.313709211764706,1.979444522222222,-3.3375000000000004
AMER3.SA,Consumer Cyclical,Americanas S.A.,5.25,3.409091,0.25301206,0.0,,-2.1930002,133.911,1051287488.0,-9.455926495,-9.921826139130435,
ANIM3.SA,Consumer Defensive,Ânima Holding S.A.,3.0,7.3170733,0.46889654,9.607001,2.6,3.708,201.974,1133580544.0,-9.478774236363638,-2.1266656333333334,-4.347272727272728
ASAI3.SA,Consumer Defensive,Sendas Distribuidora S.A.,10.24,14.222221,2.1598818,16.157,1.16,1.244,425.355,13677230080.0,-2.573626536363639,4.423333366666666,-5.787272727272727
AUAU3.SA,Consumer Cyclical,Uniao Pet Participacoes S.A.,4.08,,1.0982504,9.104,0.72,3.836,70.19,3512038656.0,,-0.8178261391304353,-12.28736842105263
AURA33.SA,Basic Materials,Aura Minerals Inc.,141.99,23.430695,15.314641,100.16400000000002,3.3,23.183,100.337,35747729408.0,-1.7357124153846186,87.70837499375001,-4.0492307692307685
AURE3.SA,Utilities,Auren Energia S.A.,12.42,,1.1274511,-7.6799995999999995,0.41,-8.088,185.482,12974367744.0,,-21.541555077777776,-5.2575
AXIA3.SA,Utilities,AXIA Energia SA,54.47,10.414914,1.2776488,10.005999000000001,6.59,27.05,62.519,124991004672.0,-11.579121211764708,-3.8555564777777764,0.9224999999999994
AZEV3.SA,Industrials,Azevedo & Travassos S.A.,7.19,,1.9317572,-111.209,,-120.70700000000001,61.177,799708800.0,,-114.91933337041667,
AZEV4.SA,Industrials,Azevedo & Travassos S.A.,1.2,,0.32240734,-111.209,,-120.70700000000001,61.177,133470176.0,,-114.91933337041667,
AZZA3.SA,Consumer Cyclical,Azzas 2154 S.A.,14.5,2.9058118,0.36460558,3.9579999999999997,16.62,2.852,49.417,2931550464.0,-9.959205695,-5.963826139130434,3.6126315789473704
B3SA3.SA,Financial Services,"B3 S.A. - Brasil, Bolsa, Balcão",17.82,17.82,4.762159,27.714001999999997,4.17,49.453998,82.574,88755200000.0,3.1081380421052653,7.445901969999998,-1.3142105263157893
BBAS3.SA,Financial Services,Banco do Brasil S.A.,21.54,10.018604,0.6757223,10.5459996,0.62,21.834,,122969137152.0,-4.693257957894735,-9.72210043,-4.864210526315789
BBDC3.SA,Financial Services,Banco Bradesco S.A.,15.63,7.1369863,0.9114234,13.763,1.3,26.070999999999998,,165508841472.0,-7.574875657894735,-6.5051000299999995,-4.184210526315789
BBDC4.SA,Financial Services,Banco Bradesco S.A.,17.78,8.118722,1.0367951,13.763,1.26,26.070999999999998,,188275572736.0,-6.593139957894735,-6.5051000299999995,-4.224210526315789
BBSE3.SA,Financial Services,BB Seguridade Participações S.A.,38.77,8.196617,6.9108734,85.944,11.81,87.929,,75262205952.0,-6.515244957894735,65.67589997,6.325789473684211
BEEF3.SA,Consumer Defensive,Minerva S.A.,4.05,10.384616,2.542373,23.22,3.1,0.8009999999999999,1346.483,4016455424.0,-6.411231536363639,11.486333366666665,-3.847272727272727
BHIA3.SA,Consumer Cyclical,Grupo Casas Bahia S.A.,0.91,,-0.10737463,,,-44.417,,922514368.0,,,
BMGB4.SA,Financial Services,Banco BMG S.A.,6.0,4.580153,0.76345587,13.986,6.63,30.158,,3854711040.0,-10.131708957894734,-6.282100029999999,1.1457894736842107
BMOB3.SA,Communication Services,Bemobi Mobile Tech S.A.,27.82,14.719577,2.4619467,16.359,7.08,8.491999999999999,4.697,2320957440.0,-2.9509036999999996,8.789000166666668,-0.7659999999999991
BPAC11.SA,Financial Services,Banco BTG Pactual S.A.,62.7,102.11726,3.7569659,24.406,1.45,39.796,,211271417856.0,87.40539804210526,4.137899969999999,-4.034210526315789
BRAP4.SA,Financial Services,Bradespar S.A.,20.35,14.535715,0.99379796,6.950000000000001,16.95,0.0,0.051,7999516160.0,-0.17614695789473522,-13.318100029999998,11.465789473684211
BRAV3.SA,Energy,Brava Energia S.A.,17.48,174.79999,0.66111946,0.44400003,0.7,0.441,154.57,8120212992.0,138.81746526666666,-10.848999831428571,-5.032
BRKM5.SA,Basic Materials,Braskem S.A.,3.96,,-0.25075987,,,-7.8469999999999995,,3155994880.0,,,
BRSR6.SA,Financial Services,Banco do Estado do Rio Grande do Sul S.A.,15.11,3.7680795,0.5217361,14.481,5.7,22.384001,,6179603968.0,-10.943782457894734,-5.7871000299999995,0.21578947368421098
CASH3.SA,Communication Services,Méliuz S.A.,5.14,,1.3551278,-20.842,,-20.308999999999997,0.001,535443328.0,,-28.411999833333333,
CBAV3.SA,Basic Materials,Companhia Brasileira de Alumínio,11.24,12.217391,1.4451016,14.575,0.39,6.414000000000001,89.138,7318056960.0,-12.94901641538462,2.1193749937499984,-6.959230769230769
CEAB3.SA,Consumer Cyclical,C&A Modas S.A.,9.29,4.9946237,0.73288107,15.493000000000002,9.67,7.016,71.667,2750426624.0,-7.870393795,5.571173860869568,-3.3373684210526307
CMIG4.SA,Utilities,Companhia Energética de Minas Gerais - CEMIG,10.91,6.7345676,1.069503,15.943999999999999,12.25,10.5059996,77.948,31210039296.0,-15.259467611764707,2.0824445222222217,6.5825
CMIN3.SA,Basic Materials,CSN Mineração S.A.,4.98,15.5625,3.6644592,28.136,12.26,13.414000000000001,124.233,26750029824.0,-9.603907415384619,15.680374993749998,4.910769230769231
COGN3.SA,Consumer Defensive,Cogna Educação S.A.,2.18,6.0555553,0.31769165,4.926,8.25,8.963000000000001,49.599,4369203200.0,-10.740292236363638,-6.8076666333333336,1.3027272727272727
CPFE3.SA,Utilities,CPFL Energia S.A.,44.48,8.537428,2.25615,27.276,8.28,13.165,154.706,51252277248.0,-13.456607211764707,13.414444522222222,2.612499999999999
CPLE3.SA,Utilities,Companhia Paranaense de Energia - COPEL,15.65,14.626167,2.0586686,12.764000000000001,6.73,11.405999999999999,97.604,46474403840.0,-7.367868211764707,-1.0975554777777763,1.0625
CSAN3.SA,Energy,Cosan S.A.,3.81,,3.0238094,-27.222002,,-22.184,190.818,15029927936.0,,-38.51500186142857,
CSMG3.SA,Utilities,Companhia de Saneamento de Minas Gerais,57.31,16.806452,2.4544947,14.97,1.81,14.882000000000001,105.845,21730889728.0,-5.187583211764707,1.1084445222222232,-3.8575000000000004
CSNA3.SA,Basic Materials,Companhia Siderúrgica Nacional,5.91,,0.6441417,-12.293999999999999,,-5.824,356.987,7837215232.0,,-24.74962500625,
CURY3.SA,Real Estate,Cury Construtora e Incorporadora S.A.,27.44,7.517808,5.1070166,68.527,18.27,17.894,65.557,8452826112.0,-12.491148316666667,44.05669226923077,4.694166666666666
CVCB3.SA,Consumer Cyclical,CVC Brasil Operadora e Agência de Viagens S.A.,1.38,46.0,2.2258065,-33.345002,,-8.944,167.471,718702080.0,33.134982504999996,-43.26682813913044,
CXSE3.SA,Financial Services,Caixa Seguridade Participações S.A.,20.4,13.509933,4.4367113,33.348998,6.96,75.434995,0.07,61199998976.0,-1.2019289578947348,13.080897970000002,1.4757894736842108
